"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"13019","17348","13019","97969","225094","225722"
,"13083","17444","13083","98407","225783","226743"
,"13147","17508","13147","98842","226144","226748"
,"13275","17700","13275","99319","226810","227769"
,"13339","17764","13339","99744","227135","227774"
,"13467","17956","13467","100176","227843","228795"
,"13595","18084","13595","100644","228159","228800"
,"13851","18468","13851","101109","228855","229821"
,"13859","18476","13859","101542","229188","229826"
,"13875","18500","13875","101997","229871","230847"
,"13891","18516","13891","102425","230209","230852"
,"13923","18564","13923","102918","230882","231873"
,"13939","18580","13939","103337","231231","231878"
,"13971","18628","13971","103801","231903","232899"
,"14003","18660","14003","104264","232258","232904"
,"14067","18756","14067","104738","232931","233925"
,"14083","18772","14083","105186","233268","233930"
,"14115","18820","14115","105647","233944","234951"
,"14147","18852","14147","106096","234306","234956"
,"14211","18948","14211","106572","234981","235977"
,"14243","18980","14243","107018","235332","235982"
,"14307","19076","14307","107472","236018","237003"
,"14371","19140","14371","107940","236354","237008"
,"14499","19332","14499","108418","237019","238029"
,"14515","19348","14515","108874","237369","238034"
,"14547","19396","14547","109341","238043","239055"
,"14579","19428","14579","109799","238397","239060"
,"14643","19524","14643","110307","239068","240081"
,"14675","19556","14675","110760","239417","240086"
,"14739","19652","14739","111225","240085","241107"
,"14803","19716","14803","111691","240442","241112"
,"14931","19908","14931","112184","241115","242133"
,"14963","19940","14963","112650","241468","242138"
,"15027","20036","15027","113129","242155","243159"
,"15091","20100","15091","113590","242503","243164"
,"15219","20292","15219","114105","243155","244185"
,"15283","20356","15283","114575","243539","244190"
,"15411","20548","15411","115034","244203","245211"
,"15539","20676","15539","115527","244555","245216"
,"15795","21060","15795","116012","245227","246237"
,"15811","21076","15811","116500","245571","246242"
,"15843","21124","15843","116988","246245","247263"
,"15875","21156","15875","117451","246598","247268"
,"15939","21252","15939","117969","247256","248289"
,"15971","21284","15971","118467","247622","248294"
,"16035","21380","16035","118936","248284","249315"
,"16099","21444","16099","119426","248641","249320"
,"16227","21636","16227","119920","249314","250341"
,"16259","21668","16259","120432","249675","250346"
,"16323","21764","16323","120910","250321","251367"
,"16387","21828","16387","121380","250715","251372"
,"16515","22020","16515","121900","251350","252393"
,"16579","22084","16579","122397","251712","252398"
,"16707","22276","16707","122881","252375","253419"
,"16835","22404","16835","123397","252744","253424"
,"17091","22788","17091","123903","253394","254445"
,"17123","22820","17123","124388","253759","254450"
,"17187","22916","17187","124879","254400","255471"
,"17251","22980","17251","125377","254785","255476"
,"17379","23172","17379","125883","255421","256497"
,"17443","23236","17443","126396","255797","256502"
